id,severity,confidence,domain,module,category,evidence_type,summary,impact,recommendation,code_refs
F001,Critical,High,Mission profiles,MissionProfile,Defect,Static and numerical,"System mission reliability treats FPMH as failures/hour, omitting the 1e-6 conversion used correctly for each part.","A representative 0.02881996 FPMH part is reported as 34.7 h MTBF and R(1000)=0 instead of about 34.7 million h and 0.99997118.","Convert the summed rate to failures/hour before MTBF and reliability calculations; add dimensional-analysis and worked-example tests.","src/reliability/MissionProfile.py:247; src/reliability/MissionProfile.py:310; tests/test_mission_profile.py:374"
F002,Critical,High,Reliability testing,Reliability_testing,Defect,Numerical,"The demonstration planner searches upward from zero failures even though the MTBF lower bound decreases as failures increase.","For MTBF=500, T=10000 and 90% confidence it returns zero allowable failures; the largest passing count is 13.","Solve the monotone integer inequality for the maximum allowable failures with a bounded binary search or descending check; test boundary pass and fail counts.","src/reliability/Reliability_testing.py:340"
F003,Critical,High,Fault trees,FaultTree router,Defect,Static and numerical,"The method named exact silently switches to the independent-minimal-cut upper bound when more than 20 cut sets exist.","For 21 cut sets sharing event A, the result is 0.190272 versus the analytic exact 0.089058, a 2.14x overstatement.","Return a distinct bounded/approximate method status or implement an exact BDD/ZBDD evaluator; never populate the exact field with a bound.","gui/backend/routers/fault_tree.py:270"
F004,Critical,High,Accelerated testing,ALT step stress,Defect,Static and numerical,"Step-stress equivalent time accelerates only the current step and leaves all prior exposure at raw clock time.","For stress steps 1/2/4 and p=2, failures at 21 and 25 are mapped to 36 and 100 instead of cumulative-exposure values 66 and 130.","Implement cumulative exposure as the sum of every completed step duration times its acceleration factor plus accelerated time in the active step; validate against published worked examples.","gui/backend/routers/alt.py:1113"
F005,Critical,High,Degradation,ALT degradation,Defect,Static,"Projected confidence bounds are represented as one failure at the upper bound plus a second right-censored observation at the lower bound.","This doubles every unit and uses f(upper)S(lower), not the interval-censored likelihood F(upper)-F(lower); non-crossing units are dropped.","Add true interval-censored likelihood support and explicit censoring for non-crossing units, or keep projection uncertainty separate from the life distribution fit.","gui/backend/routers/alt.py:839"
F006,High,High,Mission profiles,MissionProfile,Failure handling,Static,"Part-construction TypeError and ValueError exceptions are converted to a zero failure rate.","Invalid or unsupported inputs can make a part appear perfectly reliable and reduce the system estimate without a visible error.","Fail closed with a structured per-part error; only allow explicit user-approved exclusion and retain an audit trail.","src/reliability/MissionProfile.py:220"
F007,High,High,Life-data fitting,Utils and Fitters,Defect,Static and numerical,"AICc falls back to ordinary AIC when n-k-1 is nonpositive.","Undefined small-sample comparisons can favor over-parameterized models, including mixture fits with fewer observations than the correction requires.","Return infinity/undefined when n<=k+1; surface model ineligibility and use bootstrap predictive criteria or BIC only with clear assumptions.","src/reliability/Utils.py:88"
F008,High,High,Distributions,Distributions,Numerical stability,Numerical,"Generic hazard and cumulative-hazard calculations divide underflowed PDF by clipped survival and cap -log(S) near 690.8.","Weibull(eta=1,beta=2) reports hazard zero at t=30 and 100 instead of 60 and 200, and cumulative hazard 690.8 instead of 900 and 10000.","Implement distribution-specific logpdf/logsf and analytic hazard/cumulative hazard; add extreme-tail identity tests.","src/reliability/Distributions.py:18"
F009,High,High,Model fitting,Fitters and ALT_fitters,Algorithm control,Static,"Several nonlinear fits consume optimizer parameters without requiring OptimizeResult.success, finite gradients or acceptable termination.","Failed, boundary or non-identifiable fits can be returned as ordinary estimates and ranked against valid fits.","Centralize fit diagnostics; require successful termination, finite objective/gradient and boundary checks, with multi-start or alternative solvers where appropriate.","src/reliability/Fitters.py; src/reliability/ALT_fitters.py"
F010,High,High,Model fitting,Fitters,Numerical stability,Static,"Likelihood contributions are often clipped near 1e-300 instead of evaluated with logpdf and logsf.","Clipping creates flat artificial likelihood tails, distorts optimization and masks impossible observations.","Use distribution log-domain functions and log-sum-exp identities throughout; record any remaining numerical floor as a diagnostic.","src/reliability/Fitters.py"
F011,High,Medium,Model fitting,Fitters and Special_models,Uncertainty,Static and research,"Observed-Fisher finite-difference Hessians and symmetric Wald/delta intervals are the main uncertainty mechanism, including near bounds and in mixture models.","Coverage can be poor or intervals impossible for small, censored, skewed, boundary or weakly identified problems.","Add profile-likelihood intervals for scalar reliability targets and parametric/bootstrap intervals; retain Wald intervals as a fast flagged approximation.","src/reliability/Fitters.py; src/reliability/Special_models.py"
F012,High,High,Goodness of fit,Reliability_testing,Defect,Static and research,"The KS p-value and critical value are computed as though fitted distribution parameters were specified before seeing the data.","The nominal test is not calibrated after parameter estimation and may overstate fit adequacy.","Use a parametric bootstrap that refits on every replicate, or distribution-specific corrected tests; state the null and fitting procedure.","src/reliability/Reliability_testing.py:493"
F013,High,High,Goodness of fit,Reliability_testing,Defect,Static,"The chi-square goodness-of-fit path permits very small samples and sparse expected bins, then forces degrees of freedom to at least one.","Asymptotic p-values are unreliable when expected counts are small and parameter-adjusted degrees of freedom are exhausted.","Merge bins to a documented expected-count threshold or use a refitted parametric bootstrap; reject tests with no residual degrees of freedom.","src/reliability/Reliability_testing.py:431"
F014,High,High,Reliability allocation,Allocation,Defect,Static and numerical,"The AGREE allocation divides each subsystem share by importance without normalizing the resulting failure-rate shares.","A target reliability of 0.9 with equal complexity and importance 0.5/1.0 yields achieved reliability 0.853815.","Reconcile the implementation with a cited AGREE formulation and enforce product-of-allocations equals the system target within tolerance.","src/reliability/Allocation.py:109"
F015,High,High,System reliability,System reliability router,Defect,Static and numerical,"The value labeled Criticality uses Birnbaum*R_i/R_system, a success contribution rather than failure criticality.","For two series components with reliabilities 0.9 and 0.8 it reports 1.0 where Birnbaum*q_i/Q_system is about 0.285714 for the first component.","Rename the current measure or compute standard criticality with component unreliability and system unreliability; add textbook network checks.","gui/backend/routers/system_reliability.py:201"
F016,High,High,Fault trees,FaultTree router,Semantic defect,Static,"PAND is evaluated as ordinary AND, while XOR and NOT subtrees are collapsed to aggregate independent BasicEvents.","Order is ignored and cut-set identity, shared-event dependence and importance semantics are lost.","Either disable these gates for static FTA or implement a dynamic fault-tree/state-space semantics with explicit limitations.","gui/backend/routers/fault_tree.py:171"
F017,High,Medium,System reliability,FaultTree and SystemReliability,Model risk,Static and research,"FTA and RBD probabilities assume independent basic/component events and expose no common-cause or dependency model.","Redundant-system reliability can be materially overstated when shared causes, environment or load coupling exist.","Add beta-factor/MGL common-cause models and a dependency extension such as conditional events, Bayesian networks or copulas; make independence visible in every result.","src/reliability/FaultTree.py; src/reliability/SystemReliability.py"
F018,High,High,Burn-in,ALT burn in,Defect,Numerical,"Post-burn-in mean residual life is integrated only to 2*eta.","For an exponential distribution with eta=100 and burn-in=20 it reports 86.467 instead of the exact memoryless value 100.","Integrate to infinity using analytic moments or adaptive quadrature with a tail remainder bound; add exponential and Weibull reference tests.","gui/backend/routers/alt.py:1483"
F019,High,High,Maintenance,Repairable_systems,Decision defect,Static and numerical,"The replacement optimizer documents no finite optimum for beta<=1 but still returns the grid maximum as an optimum.","For beta=0.7 or 1.0 it recommends preventive replacement even when its cost rate exceeds run-to-failure.","Return an explicit run-to-failure/infinite interval decision for beta<=1 or whenever the minimum is at the expanding boundary and not better than baseline.","src/reliability/Repairable_systems.py:344"
F020,High,Medium,Repairable systems,Repairable_systems,Data semantics,Static,"MCF input infers the largest time in each history as a censoring endpoint.","A failure occurring exactly at a unit's last observed time can be silently discarded because event status is not explicit.","Use explicit event/censor records or separate end-of-observation fields and validate tied endpoint events.","src/reliability/Repairable_systems.py"
F021,High,Medium,Repairable systems,Repairable_systems,Uncertainty,Static and research,"The nonparametric MCF variance uses a binomial-increment recurrence not clearly aligned with recurrent-event Nelson variance under multiple events and staggered censoring.","Confidence bands may be miscalibrated for repairable systems, particularly in the sparse right tail.","Implement and benchmark Nelson recurrent-event variance and log/transformed intervals; add cluster bootstrap and right-tail effective-risk counts.","src/reliability/Repairable_systems.py"
F022,High,High,Parts prediction,MIL/FIDES/Telcordia/NSWC/NPRD,Conformance risk,Static and research,"Several standards-branded calculators explicitly use simplified or representative tables, while other tables lack traceable clause/example validation.","Users may treat screening proxies as handbook- or guide-conforming predictions for contractual or safety decisions.","Label each model as conforming, partial or screening-only; attach edition/clause provenance and validate against authoritative worked examples before claiming conformance.","src/reliability/NPRD_EPRD.py; src/reliability/MIL_HDBK_217Plus.py; src/reliability/Telcordia.py; src/reliability/NSWC.py; src/reliability/FIDES.py; src/reliability/Derating.py"
F023,High,High,Human reliability,HRA,Method identity,Static and research,"Functions named ATHEANA and MERMOS reduce to simple probability summaries, and SHERPA/JHEDI are assigned ad hoc quantitative probabilities.","Outputs can be mistaken for results from the full named HRA methods, which require structured context, dependency and uncertainty workflows.","Rename current functions as screening heuristics or implement the documented method workflows; add SPAR-H uncertainty and dependency analysis as the first quantitative reference implementation.","src/reliability/HRA.py"
F024,High,High,Process capability,Process_capability,Decision precondition,Static and research,"Capability indices are produced without first demonstrating a stable, in-control process.","Cpk/Ppk-style outputs can imply future capability when the process mean, variance or distribution is changing.","Add a mandatory stability assessment and Phase-I baseline status; block or prominently qualify capability conclusions when stability is not established.","src/reliability/Process_capability.py"
F025,High,High,Regression,Regression,Defect,Numerical,"OLS uses the nominal column count for inference and does not reject rank-deficient designs.","Duplicate predictors can yield ordinary coefficients and p-values despite non-identifiable parameters and incorrect residual degrees of freedom.","Use matrix rank/pivoted QR or SVD, mark aliased coefficients, compute rank-based degrees of freedom and condition diagnostics, and block invalid inference.","src/reliability/Regression.py:119"
F026,High,High,Physics of failure,PoF router,Input and model risk,Static,"Several calculators accept physically invalid signs/ranges or hard-code output units while returning precise-looking deterministic lives without uncertainty.","Negative cycles, invalid humidity/activation energy, unsupported fracture regimes or unit mismatches can generate plausible but meaningless results.","Add dimensional input schemas and mechanism-regime checks; propagate parameter/load uncertainty and expose validity ranges for every model.","gui/backend/routers/pof.py"
F027,Medium,High,Hypothesis tests,Hypothesis_tests,Defect,Numerical,"Mann-Whitney rank-biserial effect size has the opposite sign from the stated group ordering.","When every observation in group A exceeds group B the function reports -1 rather than +1.","Correct the U-to-effect mapping, define the direction in the API and add swapped-group invariance tests.","src/reliability/Hypothesis_tests.py:274"
F028,Medium,Medium,Hypothesis tests,Hypothesis_tests,Assumption gap,Static,"Repeated-measures ANOVA lacks sphericity assessment/correction and mixed ANOVA can emit approximate p-values for unbalanced data without a robust mixed model.","Type-I error can be inflated and unbalanced designs can receive overconfident inference.","Add Mauchly diagnostics with Greenhouse-Geisser/Huynh-Feldt corrections and a mixed-effects/REML path with explicit covariance structure.","src/reliability/Hypothesis_tests.py"
F029,Medium,High,Measurement systems,MSA,Assumption gap,Static,"Gauge R&R formulas do not enforce a balanced crossed design; negative variance components are silently truncated and interval uncertainty is absent.","Unbalanced, nested or destructive studies can receive invalid variance-component percentages.","Validate design topology, implement REML mixed models for unbalanced/nested studies, and report component confidence intervals and truncation diagnostics.","src/reliability/MSA.py"
F030,Medium,High,Statistical process control,SPC,Workflow gap,Static and research,"Control limits are estimated from all supplied data, including signaled points, without a Phase-I/Phase-II distinction.","Signals contaminate the baseline and reduce sensitivity; subgroup constants beyond supported sizes are clamped.","Add iterative Phase-I baseline selection with traceable exclusions, frozen Phase-II limits, autocorrelation/overdispersion checks and exact/Laney attribute-chart options.","src/reliability/SPC.py"
F031,Medium,Medium,Process capability,Process_capability,Model-selection risk,Static,"A normality test acts as a hard method switch, while empirical extreme quantiles and Box-Cox selection can be unstable on the same small sample.","Nonnormal capability and its uncertainty can be highly sensitive to sample size and model choice.","Provide fitted-distribution/Johnson and robust quantile options with bootstrap intervals, tail-data sufficiency diagnostics and sensitivity comparison.","src/reliability/Process_capability.py"
F032,Medium,High,Design of experiments,DOE,Validation gap,Static,"Factorial analysis recodes arbitrary factor levels to low/high instead of requiring exactly two levels for a two-level design.","Three-level or miscoded factors can be silently analyzed under the wrong model matrix.","Enforce the design class and level counts, or dispatch to a general categorical/response-surface model; report aliasing and estimability.","src/reliability/DOE.py"
F033,Medium,High,Design of experiments,DOE,Defect,Static,"The Plackett-Burman generator advertises powers through 64 but its fallback supports only a limited seed set and fails beyond roughly 23 factors.","Requested large screening designs can error or contradict the documented capacity.","Implement validated Hadamard/Paley constructions with explicit supported run sizes and design-quality tests, or narrow the documented range.","src/reliability/DOE.py"
F034,Medium,High,Predictive analytics,Predictive router,Data representation,Static,"Categorical predictors are ordinal LabelEncoded and may be quantile-binned as numeric before tree/CHAID modeling.","Artificial ordering and split leakage can distort effects and validation metrics.","Use split-safe pipelines with one-hot/target encoding as appropriate, preserve categorical semantics for CHAID and add unknown-category handling.","gui/backend/routers/predictive.py"
F035,Medium,High,Predictive analytics,Predictive router,Validation design,Static,"MLP inputs are not standardized, convergence warnings are globally suppressed, classification holdouts are not consistently stratified and grouped/temporal splits and calibration are absent.","Reported model rankings can be unstable, leaked across entities/time or poor as probability estimates.","Use explicit preprocessing pipelines, surface convergence, select group/time/stratified splits from data semantics, nest tuning and report calibration plus imbalance-aware metrics.","gui/backend/routers/predictive.py"
F036,Medium,Medium,Accelerated testing,ALT_fitters,Model assumption,Static and research,"ALT extrapolation does not prominently flag use stresses outside the tested range or test a common failure mechanism/common shape across stresses.","Use-condition life can be dominated by unsupported extrapolation or a mechanism change.","Add stress-range and leverage diagnostics, common-shape/mechanism tests, monotonic physical constraints and scenario/profile/bootstrap uncertainty.","src/reliability/ALT_fitters.py"
F037,Medium,High,Accelerated testing,ALT_fitters,Identifiability,Static,"Dual-stress models do not consistently check stress-design rank, collinearity or physical coefficient signs.","Non-identifiable acceleration parameters can appear numerically fitted and drive extreme use-life estimates.","Require full-rank scaled design matrices, condition diagnostics, plausible sign constraints and profile likelihood for extrapolated life.","src/reliability/ALT_fitters.py"
F038,Medium,Medium,Special lifetime models,Special_models,Identifiability,Static,"Mixture and competing-risk models lack systematic separation, boundary and component-collapse diagnostics.","A numerically converged mixture can be practically non-identifiable, with unstable component labels and misleading uncertainty.","Add multi-start stability, component-separation and effective-weight thresholds, profile/bootstrap checks and a simpler-model fallback recommendation.","src/reliability/Special_models.py"
F039,Medium,High,Bayesian life analysis,Bayesian,Semantic defect,Static and numerical,"Weibayes survival confidence arrays are named in reverse order: sf_lower is the larger curve and sf_upper the smaller curve.","Consumers and plots can invert uncertainty bands even though tests intentionally preserve the current ordering.","Rename/swap fields with a compatibility migration and assert lower<=central<=upper semantically.","src/reliability/Bayesian.py:110; tests/test_weibayes.py:199"
F040,Medium,Medium,Bayesian life analysis,Bayesian,Uncertainty assumption,Static,"Weibayes treats beta as exactly known and provides no sensitivity or prior uncertainty for it.","Scale and reliability intervals can be much too narrow when beta is estimated externally or weakly known.","Add beta sensitivity bands and a Bayesian or profile-likelihood option that propagates shape uncertainty; keep fixed-beta mode explicit.","src/reliability/Bayesian.py"
F041,Medium,High,Reliability growth,Repairable_systems,Validation gap,Static,"Duane instantaneous MTBF divides by 1-alpha without guarding alpha>=1.","Non-growth or superlinear fitted slopes can yield infinite or negative instantaneous MTBF.","Validate the model regime, withhold the metric outside 0<=alpha<1 and recommend Crow-AMSAA/change-point alternatives when assumptions fail.","src/reliability/Repairable_systems.py:320"
F042,Medium,Medium,Maintenance and RAM,Maintenance routers,Model scope,Static,"Maintenance decisions mostly assume perfect renewal or minimal repair and finite-horizon forecasts reuse long-run rate approximations.","Imperfect maintenance, aging carryover and short-horizon transient effects can materially alter recommended intervals and availability.","Add Kijima/virtual-age and semi-Markov simulation options; state renewal assumptions and distinguish steady-state from finite-horizon outputs.","gui/backend/routers/maintenance.py; gui/backend/routers/ram.py"
F043,Medium,Medium,Spares and RAM,RAM router,Model scope,Static,"Spares demand uses an independent constant-rate Poisson approximation without repair/replenishment, demand overdispersion or lead-time uncertainty.","Stockout risk can be understated for aging fleets, common shocks or repairable inventory.","Add renewal/compound-Poisson or negative-binomial demand, repair pipeline and stochastic lead-time simulation with sensitivity bands.","gui/backend/routers/ram.py"
F044,Medium,High,Warranty,Warranty,Data semantics,Static,"Fractional claim counts are rounded and period-level returns are treated as exact integer ages rather than interval-censored events.","Parameter estimates and forecasts can be biased, especially with coarse reporting periods and lagged claims.","Preserve exposures/counts, use grouped or interval-censored likelihoods, model reporting lag and include forecast/model uncertainty.","src/reliability/Warranty.py"
F045,Medium,High,Fault trees,FaultTree,Uncertainty,Static,"Fault-tree Monte Carlo uses a Wald interval, which collapses to zero width when no simulations or all simulations fail.","Rare-event estimates can display unjustified certainty.","Use Wilson, Jeffreys or exact binomial intervals and report the resolution limit when zero events are observed.","src/reliability/FaultTree.py"
F046,Medium,Medium,Fault trees,FaultTree router,Algorithm scalability,Static and research,"Exact FTA and RBD rely on exponential inclusion-exclusion/path enumeration with hard cutoffs.","Moderately complex but structured trees/networks are rejected or approximated even when exact symbolic reduction is feasible.","Implement BDD/ZBDD structure functions with memoization and expose computational diagnostics; retain simulation as a separately labeled option.","gui/backend/routers/fault_tree.py; gui/backend/routers/system_reliability.py"
F047,Medium,Medium,Physics of failure,PoF router,Model breadth,Static and research,"PoF offers mostly single deterministic laws and limited alternatives for mean-stress, crack-growth and cumulative-damage sequence effects.","Mechanism choice and load sequence uncertainty are hidden behind one estimate.","Add Walker/Morrow/SWT, Forman/NASGRO-style crack growth, nonlinear damage and competing-mechanism sensitivity views, each with calibrated validity domains.","gui/backend/routers/pof.py"
F048,Low,High,Regression,Regression,Input validation,Static,"Ridge/lasso/elastic-net hyperparameter ranges and iterative convergence status are not consistently validated or returned.","Invalid settings or unconverged sparse models may be presented as complete.","Validate alpha and l1_ratio, standardize within a pipeline and expose convergence/active-set stability diagnostics.","src/reliability/Regression.py"
F049,Low,Medium,Design of experiments,DOE,Feature gap,Static and research,"The DOE suite has limited blocking, randomization, power, lack-of-fit, mixture-design and constrained-design support.","Users can analyze a generated design without the design/analysis controls needed for defensible experimentation.","Add a design metadata contract, randomization/block generators, power and alias diagnostics, then response-surface, mixture and computer-aided designs.","src/reliability/DOE.py"
F050,Low,Medium,Markov models,Markov,Model assumption,Static,"Markov calculations assume constant transition rates and memoryless states without model-checking or parameter uncertainty.","Age-dependent transitions, dwell-time effects and uncertain rates can make steady-state or mission predictions optimistic.","Expose the CTMC assumption, add confidence/sensitivity propagation and offer semi-Markov or phase-type approximations for non-exponential dwell times.","src/reliability/Markov.py"
