,ITEM,DesignItemId,Quantity,Designator,Value,Description,Footprint,Manufacturer,Manufacturer Part Number,#Column Name Error:' MANUFACTURER Lifecycle 1,#Column Name Error:' Supplier 1,#Column Name Error:' Supplier Part Number 1,Case/Package,Case/Packages,Max Power Dissipation,Res/ESR,Voltage Rating,Power Rating,Pins,LibRef,Max Operating Temperature,Min Operating Temperature,Tolerance,Frequency
,1,CMP-CAP-000141-6,1,C1,4.7µF,CAP CER 4.7uF 25V X7R 1206 SMD,CAPC3216X180N,Kemet,C1206C475K3RACAUTO,,,,1206,,,,25V,,2,CMP-CAP-000141-6,125°C,-55°C,10%,1kHz
,2,CMP-CAP-000067-15,10,"C2, C3, C4, C5, C6, C8, C9, C10, C11, C12",10µF,CAP CER 10uF 50V X7R 1210 SMD,CAPC3225X280N,AVX Corporation,12105C106K4Z2A,,,,1210,,,,50V,,2,CMP-CAP-000067-15,125°C,-55°C,10%,
,3,CMP-CAP-000033-13,14,"C14, C129, C164, C165, C183, C184, C220, C229, C249, C250, C256, C257, C274, C279",1nF,CAP CER 1nF 50V C0G 0603 SMD,CAPC1608X90N,Kemet,C0603C102J5GAC3190,,,,0603,,,,50V,,2,CMP-CAP-000033-13,125°C,-55°C,5%,
,4,CMP-CAP-000167-10,25,"C15, C408, C409, C410, C411, C412, C413, C414, C415, C416, C417, C418, C419, C420, C421, C422, C423, C424, C425, C426, C427, C428, C429, C430, C431",47µF,CAP CER 1210 C 47uF 6.3 VDC +125degC +/-10%,CAPC3225X280N,Kemet,C1210C476K9RAC7800,,,,1210,,,,6.3V,,2,CMP-CAP-000167-10,125°C,-55°C,10%,
,5,CMP-CAP-000198-1,1,C16,47µF,"CAP CERAMIC SMD 1210, 10V, 47 uF, ± 10 %, X7R, RoHS",CAPC3225X280N,TAIYO YUDEN,LMK325B7476KM-PR,,,,1210,,,,10V,,2,CMP-CAP-000198-1,125°C,-55°C,10%,
,6,CMP-CAP-000152-10,3,"C17, C44, C600",1µF,CAP CER 1uF 50V 08805 SMD,CAPC2012X145N,KEMET,C0805C105K5RACAUTO,,,,0805,,,,50V,,2,CMP-CAP-000152-10,125°C,-55°C,10%,1kHz
,7,CMP-CAP-000181-10,3,"C18, C45, C601",100nF,CAP CER 0.1uF 50V X7R 10% 0805 SMD,CAPC2012X145N,KEMET,C0805C105K5RACAUTO,,,,0805,,,,50V,,2,CMP-CAP-000181-10,125°C,-55°C,10%,1kHz
,8,CMP-CAP-000036-13,26,"C19, C29, C39, C49, C53, C68, C73, C80, C87, C153, C158, C198, C200, C204, C208, C215, C240, C246, C266, C271, C295, C297, C299, C300, C310, C315",1µF,CAP CER 1uF 25V X5R 0603 SMD,CAPC1608X90N,TDK Corporation,CGA3E3X5R1H105K080AB,,,,0603,,,,25V,,2,CMP-CAP-000036-13,85°C,-55°C,10%,
,9,CMP-CAP-000035-11,104,"C21, C36, C41, C47, C48, C51, C52, C54, C58, C59, C64, C66, C67, C69, C71, C72, C78, C79, C82, C84, C88, C93, C96, C99, C108, C119, C122, C130, C149, C150, C151, C155, C156, C157, C159, C161, C163, C167, C168, C169, C174, C175, C176, C177, C178, C180, C187, C188, C189, C196, C197, C202, C203, C205, C207, C211, C212, C214, C217, C219, C223, C224, C227, C232, C236, C238, C239, C244, C245, C247, C251, C255, C259, C262, C264, C265, C269, C270, C272, C275, C278, C280, C296, C301, C305, C510, C610, C700, C701, C702, C703, C704, C705, C707, C708, C709, C710, C711, C822, C832, C835, C837, C839, C841",100nF,CAP CER 100nF 50V X7R 0603 SMD,CAPC1608X90N,TDK Corporation,CGA3E2X7R1H104K080AA,,,,0603,,,,50V,,2,CMP-CAP-000035-11,125°C,-55°C,10%,
,10,CMP-CAP-000070-12,6,"C23, C24, C38, C101, C103, C116",22µF,CAP CER 22uF 25V X5R 0805 SMD,CAPC2012X145N,Murata Electronics,GRT21BR61E226ME13L,,,,0805,,,,25V,,2,CMP-CAP-000070-12,125°C,-55°C,20%,
,11,CMP-CAP-000073-10,26,"C25, C46, C50, C55, C65, C70, C75, C77, C83, C89, C105, C152, C160, C162, C195, C201, C206, C210, C213, C218, C237, C242, C248, C263, C268, C273",4.7µF,CAP CER 4.7uF 16V X7S 0603 SMD,CAPC1608X90N,Murata,GRM188C71C475KE21D,,,,0603,,,,16V,,2,CMP-CAP-000073-10,85°C,-55°C,10%,
,12,CMP-CAP-000072-11,10,"C42, C100, C114, C115, C123, C511, C611, C836, C838, C840",4.7µF,CAP CER 4.7uF 50V X7S 0805 SMD,CAPC2012X145N,Murata Electronics,GRM21BC71H475KE11K,,,,0805,,,,50V,,2,CMP-CAP-000072-11,125°C,-55°C,10%,
,13,CMP-CAP-000047-11,1,C43,10µF,CAP CER 10uF 25V X7S 0805 SMD Low ESR,CAPC2012X145N,TDK Corporation,CGA4J1X7S1E106K125AC,,,,0805,,,0.0015 OHM,25V,,2,CMP-CAP-000047-11,125°C,-55°C,10%,500kHz
,14,CMP-CAP-000089-8,12,"C56, C57, C74, C148, C186, C209, C230, C231, C241, C243, C258, C267",2.2nF,CAP CER 2.2nF 50V X7R 0603 SMD,CAPC1608X90N,TDK Corporation,CGA3E2X8R1H222K080AE,,,,0603,,,,50V,,2,CMP-CAP-000089-8,150°C,-55°C,10%,
,15,CMP-CAP-000114-10,14,"C60, C62, C94, C154, C166, C170, C172, C192, C221, C225, C233, C252, C260, C276",1nF,CAP CER 1000pF 100V X7R 0603 GCM188R72A102KA37D,CAPC1608X90N,MuRuta,GCM188R72A102KA37D,,,,0603,,,,100V,,2,CMP-CAP-000114-10,125°C,-55°C,10%,
,16,CMP-CAP-000090-8,12,"C61, C63, C171, C173, C194, C226, C234, C235, C253, C254, C261, C277",4.7nF,CAP CER 4.7nF 50V X7R 0603 SMD,CAPC1608X90N,TDK Corporation,CGA3E2X8R1H472K080AE,,,,0603,,,,50V,,2,CMP-CAP-000090-8,150°C,-55°C,10%,
,17,CMP-CAP-000034-11,4,"C92, C97, C216, C228",10nF,CAP CER 10nF 50V X7R 0603 SMD,CAPC1608X90N,TDK Corporation,CGA3E2X7R1H103K080AA,,,,0603,,,,50V,,2,CMP-CAP-000034-11,125°C,-55°C,10%,
,18,CMP-CAP-000105-9,2,"C95, C222",220pF,CAP CER 220pF 50V C0G 0603 SMD,CAPC1608X90N,Kemet,C0603C221J5GAC3190,,,,0603,,,,50V,,2,CMP-CAP-000105-9,125°C,-55°C,5%,
,19,CMP-CAP-000106-10,3,"C104, C181, C182",1µF,CAP CER 1uF 100V X7R 0805 SMD,CAPC2012X145N,Murata,GCJ21BR72A104KA01L,,,,0805,,,,100V,,2,CMP-CAP-000106-10,125°C,-55°C,10%,
,20,CMP-CAP-000096-11,1,C109,100nF,CAP CER 100nF 100V X7R 0805 SMD,CAPC2012X145N,Murata,GCJ21BR72A104KA01L,,,,0805,,,,100V,,2,CMP-CAP-000096-11,125°C,-55°C,10%,
,21,CMP-CAP-000188-7,5,"C110, C111, C112, C117, C313",100nF,CAP CER 0.1uF 16V X7R 5% 0603 SMD,CAPC1608X90N,Kyocera,0603YC104J4T2A,,,,0603,,,,16V,,2,CMP-CAP-000188-7,125°C,-55°C,5%,
,22,CMP-CAP-000124-8,1,C120,22nF,CAP CER 22nF 50V X7R 0603 SMD,CAPC1608X90N,TDK Corporation,CGA3E2X7R1H223K080AA,,,,0603,,,,50V,,2,CMP-CAP-000124-8,125°C,-55°C,10%,
,23,CMP-CAP-000103-9,1,C121,470pF,CAP CER 470pF 50V C0G 0603 SMD,CAPC1608X90N,Kemet,C0603C471J5GACAUTO,,,,0603,,,,50V,,2,CMP-CAP-000103-9,125°C,-55°C,5%,
,24,CMP-CAP-000098-9,3,"C124, C126, C127",4.7µF,CAP CER 4.7uF 100V X7S 1210 SMD,CAPC3225X280N,TDK,CGA6M3X7S2A475K200AE,,,,1210,,,,100V,,2,CMP-CAP-000098-9,125°C,-55°C,10%,
,25,CMP-CAP-000115-4,2,"C125, C320",4.7nF,CAP CER 4700pF 20% 760VAC SUPPRESSION Y5U  SMDY1472MY5UDR,SODFL1920X400-2N,Vishay,SMDY1472MY5UDR,,,,2-SMD,,,,760V,,2,CMP-CAP-000115-4,125°C,-55°C,20%,
,26,CMP-CAP-000174-7,1,C179,220pF,"CAP CER 220PF, 100V, NP0, 0805;± 5% SMD",CAPC2012X145N,KEMET,C0805X221J1GACAUTO,,,,0805,,,,100V,,2,CMP-CAP-000174-7,125°C,-55°C,5%,1kHz
,27,CMP-CAP-000037-10,8,"C295A, C297A, C299A, C300A, C304, C311, C466, C500",10µF,CAP CER 10uF 16V X5R 0603 SMD,CAPC1608X90N,Murata,GRT188R61C106KE13D,,,,0603,,,,16V,,2,CMP-CAP-000037-10,85°C,-55°C,10%,
,28,CMP-CAP-000025-20,15,"C302, C303, C450, C451, C457, C458, C461, C462, C463, C464, C465, C481, C482, C484, C485",100nF,CAP CER 100nF 50V X7R 0402 SMD,CAPC1005X55L,Murata Electronics,GCM155R71H104KE02D,,,,0402,,,,50V,,2,CMP-CAP-000025-20,125°C,-55°C,±10%,
,29,CMP-CAP-000021-20,2,"C400, C401",10pF,CAP CER 10pF 50V C0G 0402 SMD,CAPC1005X55L,TDK Corporation,CGA2B2NP01H100D050BA,,,,0402,,,,50V,,2,CMP-CAP-000021-20,125°C,-55°C,±0.5pF,
,30,CMP-CAP-000024-20,2,"C402, C435",10nF,CAP CER 10nF 50V X7R 0402 SMD,CAPC1005X55L,Murata Electronics,GCM155R71H103KA55D,,,,0402,,,,50V,,2,CMP-CAP-000024-20,125°C,-55°C,±10%,
,31,CMP-CAP-000187-14,11,"C403, C404, C405, C406, C407, C436, C437, C438, C439, C440, C441",100nF,CAP CER 0.1uF 6.3V X7R 0402SMD,CAPC1005X55L,KEMET,C0402C104K9RACAUTO,,,,0402,,,,6.3V,,2,CMP-CAP-000187-14,125°C,-55°C,10%,
,32,CMP-CAP-000104-16,3,"C432, C433, C434",4.7nF,CAP CER 4.7nF 50V X7R 0402 SMD,CAPC1005X55L,KEMET,C0402C472K5RACAUTO,,,,0402,,,,50V,,2,CMP-CAP-000104-16,125°C,-55°C,10%,
,33,CMP-CAP-000091-9,8,"C442, C443, C452, C459, C460, C483, C486, C602",47µF,CAP CER 47uF 6.3V X7R 1210 SMD,CAPC3225X280N,Taiyo Yuden,JMJ325KB7476KMHP,,,,1210,,,,6.3V,,2,CMP-CAP-000091-9,125°C,-55°C,10%,
,34,CMP-CAP-000026-20,1,C492,1µF,CAP CER 1uF 25V X5R 0402 SMD,CAPC1005X55L,Murata Electronics,GRT155R61E105KE01D,,,,0402,,,,25V,,2,CMP-CAP-000026-20,85°C,-55°C,±10%,
,35,CMP-CAP-000023-19,1,C493,1nF,CAP CER 1nF 50V C0G 0402 SMD,CAPC1005X55L,Murata Electronics,GCM1555C1H102GA16J,,,,0402,,,,50V,,2,CMP-CAP-000023-19,125°C,-55°C,±2%,
,36,CMP-CAP-000186-13,1,C494,470pF,CAP CER 470pF 10V C0G 0402 SMD,CAPC1005X55N,Wurth Elektronik,885012005017,,,,0402,,,,10V,,2,CMP-CAP-000186-13,125°C,-55°C,5%,
,37,CMP-CAP-000005-18,2,"C828, C830",22pF,CAP CER 22pF 50V C0G 0402 SMD,CAPC1005X55N,Taiyo Yuden,UMK105CH220JVHF,,,,0402,,,,50V,,2,CMP-CAP-000005-18,125°C,-55°C,5%,
,38,CMP-SBD-000009-2,2,"D1, D104",BAT46W-HE3-18,DIODE SCHOTTKY 100V 150mA BAT46W-HE3-18 SOD123,SOD370X155X135L35X55L,Vishay,BAT46W-HE3-18,,,,,SOD123,,,100V,,2,CMP-SBD-000009-2,125°C,-55°C,,
,39,CMP-LED-000010-4,7,"D4, D6, D7, D8, D55, D120, D128",SML-D13FWT86C,LED GRN DIFFUSE 22mcd SML-D13FWT86C SMD 0603,DIOC1006X20N,Rohm Semiconductor,SML-D13FWT86C,,,,,DIOC1006X20N,,,2.1V,,2,CMP-LED-000010-4,100°C,-40°C,,
,40,CMP-TVS-000015-9,36,"D9, D10, D27, D28, D29, D30, D31, D32, D33, D34, D35, D36, D37, D38, D40, D42, D43, D44, D45, D46, D47, D48, D49, D50, D51, D52, D53, D54, D802, D805, D810, D812, D814, D816, D817, D818",ESD5V0D3B-TP,DIODE TVS 5V 15Vc 120W 8A BiDir ESD5V0D3B-TP SOD-323,SODN254X130X114L37X32N,MICRO COMMERCIAL,ESD5V0D3B-TP,,,,,SOD-323,,,13.5V,,2,CMP-TVS-000015-9,150°C,-55°C,,
,41,CMP-TVS-000010-6,25,"D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D22, D23, D105, D107, D109, D111, D112, D113, D114, D119, D205, D207, D209, D211, D212",CDSOD323-T12C-DSLQ,DIODE TVS 12V 28.3Vc 350W BiDir CDSOD323-T12C-DSLQ SOD-323,SODN254X130X114L37X32N,Bourns,CDSOD323-T12C-DSLQ,,,,,SOD-323,,,12V,,2,CMP-TVS-000010-6,150°C,-55°C,,
,42,CMP-TVS-000018-4,2,"D100, D101",SMAJ33A,TVS DIODE 33VWM 53.3VC SMA Single Uni-Dir 400W 2-Pin,DIOM5026X23N,LITTLEDISE,SMAJ33A,,,,,SMA,,,53.5V,,2,CMP-TVS-000018-4,150°C,-65°C,,
,43,CMP-SBD-000016-2,5,"D102, D103, D116, D118, D138",V10P10HM3_A/H,DIODE SCHOTTKY 100V 10A V10P10HM3_A/H SMD TO-277A Ultra-Low Vf,TO-277A_430X650X120L109X120T355X400N,Vishay General Semiconductor,V10P10HM3_A/H,,,,,TO-277A,,,100V,,3,CMP-SBD-000016-2,150°C,-40°C,,
,44,CMP-SBD-000011-4,1,D115,VSS8D3M10HM3/I,DIODE SCHOTTKY 100V 3A VSS8D3M10HM3/I  SOD-128,SODFL470X250X110L58X175N_SMAFL,Vishay,VSS8D3M10HM3/I,,,,,SOD-128,,,100V,,2,CMP-SBD-000011-4,125°C,-40°C,,
,45,CMP-ZNR-000002-6,1,D117,BZT52HC12WF-7,DIODE ZENER 12V 375MW BZT52H-C16 SOD123F,SODFL3516X120M,Diodes Incorporated,BZT52HC12WF-7,,,,,SODFL3516X120N,,,12V,,2,CMP-ZNR-000002-6,150°C,-65°C,,
,46,CMP-SBD-000003-5,2,"D122, D123",DAN217UMFHTL,DIODE ARRAY SCHOTTKY SERIES 80V 100mA DAN217UMFHTL SOT-323FL,SOFL65P200X100-3M,Rohm Semiconductor,DAN217UMFHTL,,,,,SOFL65P200X100-3N,,,80V,,3,CMP-SBD-000003-5,125°C,-55°C,,
,47,CMP-LED-000003-4,10,"D301, D302, D303, D304, D305, D306, D307, D308, D309, D310",SML-P12YTT86RR,LED YEL CLEAR 100mcd SML-P12YTT86RR SMD 0402,DIOC1006X20L,Rohm Semiconductor,SML-P12YTT86RR,,,,,DIOC1006X20N,,,2.1V,,2,CMP-LED-000003-4,85°C,-40°C,,
,48,CMP-MEC-000005-4,6,"D_Q100, dev_rst_n, DEVRST_N, PG_PWR, TP_EN_CORE, TP_RUN",GRN,TEST POINT THM GRN 5126,TP-5126-GRN,Keystone,5126,,,,,TP-5126-GRN,,,,,1,CMP-MEC-000005-4,,,,
,49,CMP-FUS-000008-8,2,"F101, F102",3A,FUSE SMT 3A SLO 32VDC 1206,FUSC3216X120N,Bourns Inc,SF-1206S300M-2,,,,,FUSC3216X120N,,,32V,,2,CMP-FUS-000008-8,125°C,-55°C,,
,50,CMP-FER-000005-F,75,"FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9, FB10, FB11, FB14, FB15, FB17, FB18, FB19, FB22, FB24, FB25, FB33, FB34, FB35, FB36, FB37, FB38, FB39, FB40, FB41, FB42, FB43, FB44, FB45, FB46, FB47, FB48, FB49, FB50, FB53, FB54, FB55, FB57, FB58, FB59, FB60, FB61, FB62, FB63, FB64, FB65, FB66, FB67, FB68, FB69, FB70, FB71, FB72, FB73, FB74, FB75, FB76, FB77, FB78, FB79, FB80, FB81, FB82, FB83, FB84, FB85, FB86, FB100, FB101, FB102, FB813, FB814, FB815",1K OHM,FERRITE BEAD 1K OHM 200mA 0402,BEADC1005X55N,TDK,MMZ1005Y102CTD25,,,,0402,,,,,140mW,2,CMP-FER-000005-F,125°C,-55°C,25%,
,51,CMP-MEC-000018-3,6,"FID1, FID2, FID3, FID4, FID5, FID6",FIDUCIAL,FIDUCIAL 1mm,FIDUCIAL 1mm,None,DNL,,,,,FIDUCIAL,,,,,0,CMP-MEC-000018-3,,,,
,52,CMP-CON-000135-9,3,"J40, J46, J47",ASP-231656-0,CONN HDR 30POS 38.6mmx5.08mmx16mm 2.54mm VERT ASP-231656-0 TH,CONN HDR 30POS ASP-231656-0,Samtec,ASP-231656-0,,,,,ASP-231656-0,,,775V,,30,CMP-CON-000135-9,125°C,-55°C,,
,53,CMP-CON-000120-2,1,J100,221VL36F26,"Connector CMM221 male Right Angle on PCB,",221vL36F26,Nocomatic,221VL36F26,,,,,CONNECTOR  RIGHT ANGLE MALE,,,800V,,36,CMP-CON-000120-2,260°C,-60°C,,
,54,CMP-002-000005-C,1,J102,,"Header Connector, pcb Mount, plug, 2 Contacts, skt, 0.1 Pitch, pc Tail Terminal Rohs Compliant: No",TE_534998-1,TE CONNECTIVITY,534998-1,,,,,2pin THT,,,333V,,2,CMP-002-000005-C,125°C,-65°C,,
,55,CMP-CON-000130-1,1,J301,ASP-232565-01,CONN RCPT RA 10pos 2.54mm Mini-MateASP-232565-01 Modified Application Specific Modification,ASP-232565-01,Samtec,ASP-232565-01,,,,,ASP-232565-01,,,63V,,10,CMP-CON-000130-1,125°C,-55°C,,
,56,CMP-MEC-000022-3,1,LBL1,CXDV7610-0053-001,TEAMCENTER_DECAL_WISK Nexus Edition,TEAMCENTER_DECAL_WISK - Nexus,McMaster-Carr,6785T33,,,,,LABEL,,,,,0,CMP-MEC-000022-3,,,,
,57,CMP-MEC-000107-1,10,"M1, M2, M3, M4, M5, M6, M7, M8, M9, M10",NA,MTG HOLE PLATED FINISHED HOLE 0.1285 155 PAD,MTG 128.5_155P_PLATED-Footprint-1,NA,NA,,,,,MTG128.5,,,,,1,CMP-MEC-000107-1,,,,
,58,CMP-MEC-000108-1,4,"M11, M12, M13, M14",NA,MTG HOLE NON-PLATED FINISHED HOLE 0.1285,MTG 128.5_155P_NON-PLATED-Footprint-1,NA,NA,,,,,MTG128.5np,,,,,1,CMP-MEC-000108-1,,,,
,59,CMP-MEC-000002-4,8,"P1V0, P1V8, P2V5, P3V3, P3V3_PRI, P5VX, P5VY, P12V_FLYB",RED,TEST POINT THM RED 5010,TP-5010-RED,Keystone,5010,,,,,TP-5010-RED,,,,,1,CMP-MEC-000002-4,,,,
,60,CMP-TNS-000008-5,1,Q100,BSC350N20NSFDATMA1,MOSFET N-CH 200V 35A 35mOhm BSC350N20NSFDATMA1 SuperSO8,QFN9P127_532X615X110L58X42T390X360N,Infineon Technologies,BSC350N20NSFDATMA1,,,,,SuperSO8,,,200V,,11,CMP-TNS-000008-5,175°C,-55°C,,28.9MHz
,61,CMP-RES-000287-N,2,"R1, R3",4.7KOhm,RES 4.7K OHM 1% 1/10W ±100ppm Thick Film 0603 SMD,RESC1608X50N,Yageo,AC0603FR-074K7L,,,,0603,,,,,1/10W,2,CMP-RES-000287-N,155°C,-55°C,1%,
,62,CMP-RES-000231-N,2,"R2, R4",2.21K,RES 2.21K OHM 1% 1/10W 100ppm Thk Film 0603 SMD,RESC1608X50N,Stackpole Electronics,RMCF0603FT2K21,,,,0603,,,,,100mW,2,CMP-RES-000231-N,155°C,-55°C,1%,
,63,CMP-RES-000201-N,5,"R5, R11, R12, R38, R39",4.75K,RES 4.75K OHM 1% 1/10W 100ppm Thk Film 0603 SMD,RESC1608X50N,Stackpole Electronics,RMCF0603FT4K75,,,,0603,,,,,100mW,2,CMP-RES-000201-N,155°C,-55°C,1%,
,64,CMP-RES-000025-AB,7,"R6, R16, R22, R66, R300, R758, R759",100K,RES 100K OHM 1% 1/10W 100ppm Thk Film 0603 SMD,RESC1608X50N,Vishay Dale,CRCW06031M00FKEA,,,,0603,,,,,100mW,2,CMP-RES-000025-AB,155°C,-55°C,1%,
,65,CMP-RES-000215-C,2,"R10, R311",40.2K,RES 40.2K OHM 1% 1/16W 100ppm Thk Film 0402 SMD,RESC1005X45N,Stackpole Electronics,RMCF0402FT40K2,,,,0402,,,,,63mW,2,CMP-RES-000215-C,155°C,-55°C,1%,
,66,CMP-RES-000389-C,1,R14,4.53k,RES 4.53K Ohm 1% 1/10W ±100ppm/°C 0603 SMD,RESC1608X50N,VISHAY DALE,CRCW06034K53FKEA,,,,0603,,,,,100mW,2,CMP-RES-000389-C,155°C,-55°C,1%,
,67,CMP-RES-000388-C,1,R15,2.43k,RES 2.43K Ohm 1% 1/10W ±100ppm/°C  0603 SMD,RESC1608X50N,VISHAY DALE,CRCW06032K43FKEA,,,,0603,,,,,100mW,2,CMP-RES-000388-C,155°C,-55°C,1%,
,68,CMP-RES-000347-K,3,"R18, R21, R40",250 Ohm,RES 250 OHM 5% 1/8W ±100ppm Thin Film 0603 SMD,RESC1608X50N,Vishay,CH0603-250RJNTA,,,,0603,,,,,1/8 W,2,CMP-RES-000347-K,155°C,-55°C,5%,
